id,prefix,LSSIN,SKU,marketplace_id,gl,gl_description,item_name,variance_type,variance,image,description,color_name,material_type,msrp,msrp_tax_amount,category_id,category_name,subcategory_id,subcategory_name,brand_id,brand_name,number_of_items,hts_code,parent_lssin,is_base_product,size,unit_of_measurement,country_of_origin,care_instructions,is_vintage,is_pre_order
1,LS,LS1,,1,1,gl_dining,Les Depareillees Green Osieau Dessert Plate - Set of 2,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/ScreenShot2023-02-28at4.06.06PM_08c61fe4-9816-42f2-9ac3-a14a0a52b6b3.png?v=1706223231,,Green,Ceramic,1150,966,1,dinnerware,4,dessert_plates,1,Gien,2,,,,23.2,cm,France,Microwave and Dishwasher Safe (moderate use),,
2,LS,LS2,,1,1,gl_dining,Les Depariellees Monogramme Dessert Plate - Set of 2,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/ScreenShot2023-02-28at4.06.00PM_44803470-31b4-4fd4-872b-57d6671a727a.png?v=1706223185,,Green,Ceramic,1150,966,1,dinnerware,4,dessert_plates,1,Gien,2,,,,23.2,cm,France,Microwave and Dishwasher Safe (moderate use),,
3,LS,LS3,,1,1,gl_dining,Les Depareillees Green Osieau Dinner Plate - Set of 3,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/ScreenShot2023-02-28at4.06.06PM_b646352d-1fd0-404a-ab35-86745bbfb44a.png?v=1706203446,,Green,Ceramic,2490,2091.6,1,dinnerware,2,dinner_plates,1,Gien,3,,,,27.4,cm,France,Microwave and Dishwasher Safe (moderate use),,
4,LS,LS4,,1,1,gl_dining,Negro Vistas Aaron Stewart - Dinner Plate Set of 4,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/ScreenShot2024-01-23at11.03.48AM.png?v=1706029463,,Black & Blue,Ceramic,2620,2200.8,1,dinnerware,2,dinner_plates,2,La Cartuja de Sevilla,4,,,,25.8,cm,Spain,Microwave and dishwasher safe (moderate use),,
5,LS,LS5,,1,1,gl_dining,Serving Tray Small Les Depareillees - Blue,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/ScreenShot2023-11-28at2.50.09PM.png?v=1701204902,,Blue,Acrylic,1173,985.32,2,serverware,29,tray,1,Gien,1,,,,37 x 28.3 ,cm,France,,,
6,LS,LS6,,1,1,gl_dining,Serving Tray Small Les Depareillees - Green,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/ScreenShot2023-11-28at2.51.22PM.png?v=1701204874,,Green,Acrylic,1173,985.32,2,serverware,29,tray,1,Gien,1,,,,37 x 28.3 ,cm,France,,,
7,LS,LS7,,1,1,gl_dining,Serving Tray Large - Les Depareillees Green,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/ScreenShot2023-11-28at2.51.45PM.png?v=1701204745,,Green,Acrylic,1522,1278.48,2,serverware,29,tray,1,Gien,1,,,,46x36 ,cm,France,,,
8,LS,LS8,,1,1,gl_dining,Serving Tray Large - Les Depareillees Blue,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/ScreenShot2023-11-28at2.47.15PM.png?v=1701204586,,Blue,Acrylic,1522,1278.48,2,serverware,29,tray,1,Gien,1,,,,46x36 ,cm,France,,,
9,LS,LS9,,1,1,gl_dining,Zagara Tray Medium,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Tray_Zagara_1_W_2005_2012.jpg?v=1698429482,Hand Made Lacquer Tray,Yellow,Lacquer,1052,883.68,2,serverware,29,tray,3,Ortigia Sicilia,1,,,,30.5 x 20.5 x 2.5 ,cm,Italy,,,
10,LS,LS10,,1,1,gl_dining,Tray Mosaico Red Medium,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Tray_Red_Mosaico_1_W_2015_2029.jpg?v=1698429043,Hand Made Lacquer Tray,Red,Lacquer,1052,883.68,2,serverware,29,tray,3,Ortigia Sicilia,1,,,,30.5 x 20.5 x 2.5 ,cm,Italy,,,
11,LS,LS11,,1,1,gl_dining,Tray Dragonflies Rectangle,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Tray_Butterfly_Rectangle_Front_2312_W.jpg?v=1698428169,,Black,Lacquer,1820,1528.8,2,serverware,29,tray,3,Ortigia Sicilia,1,,,,30.5 x 20.5 x 2.5 ,cm,Italy,,,
12,LS,LS12,,1,1,gl_dining,Tray Jungle,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Tray_Jungle_Round_Front_2311_W.jpg?v=1698427538,,Black,Lacquer,1500,1260,2,serverware,29,tray,3,Ortigia Sicilia,1,,,,40 x 3,cm,Italy,,,
13,LS,LS13,,1,8,gl_fragrances,Aragona Palma Diffuser - 200 ml,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Aragona_Diffuser_Palma_200ml_257.png?v=1698426139,,Purple,Glass,1089,914.76,8,diffusers_and_essences,,,3,Ortigia Sicilia,1,,,,200,ml,Italy,,,
14,LS,LS14,,1,7,gl_bathroom,Aragona Medium Decorated Candle,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Aragona_Decorated_Candle_medium_643_2_W.png?v=1698426031,Burn Time: 75hrs,Purple,Wax,1426,1197.84,7,candles,,,3,Ortigia Sicilia,1,,,,380,gr,Italy,,,
15,LS,LS15,,1,7,gl_bathroom,Bergamotto Liquid Soap,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Bergamotto_Liquid_Soap_W_261.jpg?v=1694201794,,Green,Glycerine,535,449.4,9,soaps_and_creams,,,3,Ortigia Sicilia,1,,,,300,ml,Italy,,,
16,LS,LS16,,1,1,gl_dining,Negro Vistas Aaron S. Broth Cup & Saucer - Set of 2,Color,Blue,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/set-4-tazas-consome-platillos-negro-vistas-blue-aaron-stewart.jpg?v=1694116142,,Black & Blue,Ceramic,2412,2026.08,1,dinnerware,37,broth_cup,2,La Cartuja de Sevilla,2,,,,15.7 x 7 ,cm,Spain,Microwave and dishwasher safe (moderate use),,
17,LS,LS17,,1,7,gl_bathroom,Zagara Hand Cream - 300ml,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Zagara_Body_Cream_W_501.jpg?v=1691453773,,Yellow,,1030,865.2,9,soaps_and_creams,,,3,Ortigia Sicilia,1,,,,300,ml,Italy,,,
18,LS,LS18,,1,1,gl_dining,Green Oaxaca Dessert Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/plato-postre-oaxaca-verde.jpg?v=1691255538,,Green,Ceramic,642,539.28,1,dinnerware,4,dessert_plates,2,La Cartuja de Sevilla,1,,,,20.8,cm,Spain,Microwave and dishwasher safe (moderate use),,
19,LS,LS19,,1,1,gl_dining,Black & White Oaxaca Dessert Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/LC16_db765d0e-f1df-4748-8d0d-8ee96b1be6dc.png?v=1691255076,,Black & White,Ceramic,642,539.28,1,dinnerware,4,dessert_plates,2,La Cartuja de Sevilla,1,,,,20.8,cm,Spain,Microwave and dishwasher safe (moderate use),,
20,LS,LS20,,1,1,gl_dining,Aladdin Flatware -  1 place,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/ScreenShot2023-07-19at9.58.39AM.png?v=1689782340,"1 Table Fork, 1 Table Knife, 1 Table Spoon, 1 Dessert Spoon",Amber,"Stainless Steel 18/10, Acrylic Handle and Chromed Ring",1162,976.08,3,flatware,,,4,Casa Bugatti,4,,,,,,Italy,Dishwasher Safe,,
21,LS,LS21,,1,7,gl_bathroom,Zagara Liquid Soap & Body Cream Set,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Zagara_Body_Cream_Liquid_Soap_Set_W_941.jpg?v=1689028822,,Yellow,Glycerine & Olive Oil,1440,1209.6,9,soaps_and_creams,,,3,Ortigia Sicilia,2,,,,300,ml,Italy,,,
22,LS,LS22,,1,7,gl_bathroom,Zagara Medium Decorated Candle,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Zagara_Decorated_Candle_Medium_2170_W.jpg?v=1688690267,Burn Time: 75hrs,Yellow,Wax,1426,1197.84,7,candles,,,3,Ortigia Sicilia,1,,,,380,gr,Italy,,,
23,LS,LS23,,1,7,gl_bathroom,Sandalo Medium Decorated Candle,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Sandalo_Decorated_Candle_Medium_2169_W.jpg?v=1688690145,Burn Time: 75hrs,Blue,Wax,1426,1197.84,7,candles,,,3,Ortigia Sicilia,1,,,,380,gr,Italy,,,
24,LS,LS24,,1,7,gl_bathroom,Sandalo Small Decorated Candle,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Sandalo_Decorated_Candle_2163_W.jpg?v=1688690103,Burn Time: 35hrs,Blue,Wax,745,625.8,7,candles,,,3,Ortigia Sicilia,1,,,,150,gr,Italy,,,
25,LS,LS25,,1,7,gl_bathroom,Melograno Small Decorated Candle,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Melograno_Decorated_Candle_2020_W.jpg?v=1688689995,Burn Time: 35hrs,Red,Wax,745,625.8,7,candles,,,3,Ortigia Sicilia,1,,,,150,gr,Italy,,,
26,LS,LS26,,1,7,gl_bathroom,Melograno Medium Decorated Candle,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Melograno_Decorated_Candle_Medium_2168_W.jpg?v=1688689907,Burn Time: 75hrs,Red,Wax,1426,1197.84,7,candles,,,3,Ortigia Sicilia,1,,,,380,gr,Italy,,,
27,LS,LS27,,1,7,gl_bathroom,Florio Medium Decorated Candle,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Florio_Decorated_Candle_Medium_2166_W_788c2114-a6a1-4f6e-91ea-502b8e82796c.jpg?v=1688690384,Burn Time: 75hrs,Light Blue,Wax,1426,1197.84,7,candles,,,3,Ortigia Sicilia,1,,,,380,gr,Italy,,,
28,LS,LS28,,1,7,gl_bathroom,Fico D' India Small Decorated Candle,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Fico_Decorated_Candle_2018_W.jpg?v=1688689510,Burn Time: 30-35 hrs,Green,Wax,745,625.8,7,candles,,,3,Ortigia Sicilia,1,,,,150,gr,Italy,,,
29,LS,LS29,,1,7,gl_bathroom,Fico D' India Medium Decorated Candle,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Fico_Decorated_Candle_Medium_2165_W.jpg?v=1688689183,Burn Time: 75hrs,Green,Wax,1426,1197.84,7,candles,,,3,Ortigia Sicilia,1,,,,380,gr,Italy,,,
30,LS,LS30,,1,7,gl_bathroom,Ambra Nera Medium Decorated Candle,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Ambra_Decorated_Candle_Medium_2164_W.jpg?v=1688688686,Burn Time: 75hrs,Print,Wax,1426,1197.84,7,candles,,,3,Ortigia Sicilia,1,,,,380,gr,Italy,,,
31,LS,LS31,,1,7,gl_bathroom,Zagara Liquid Soap Refill - 1lt,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Untitleddesign_1_d22064d0-597c-4880-bc7d-79b3b9757e68.png?v=1688688478,,Yellow,Glycerine ,990,831.6,9,soaps_and_creams,28,refill,3,Ortigia Sicilia,1,,,,1,lts,Italy,,,
32,LS,LS32,,1,7,gl_bathroom,Melograno Liquid Soap Refill - 1lt,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Untitleddesign_1_5074c065-c1f0-4b1f-86b3-1518ac90f301.png?v=1688688329,,Black,Glycerine ,990,831.6,9,soaps_and_creams,28,refill,3,Ortigia Sicilia,1,,,,1,lts,Italy,,,
33,LS,LS33,,1,7,gl_bathroom,Florio Liquid Soap Refill - 1lt,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Untitleddesign_1_5f0f1746-bcd0-4bbf-8347-35c29eb43dfb.png?v=1688688311,,Black,Glycerine ,990,831.6,9,soaps_and_creams,28,refill,3,Ortigia Sicilia,1,,,,1,lts,Italy,,,
34,LS,LS34,,1,7,gl_bathroom,Fico D'India Liquid Soap Refill - 1lt,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Untitleddesign_1_415e588e-28aa-4c45-8ee9-b376e881360d.png?v=1688688290,,Black,Glycerine ,990,831.6,9,soaps_and_creams,28,refill,3,Ortigia Sicilia,1,,,,1,lts,Italy,,,
35,LS,LS35,,1,7,gl_bathroom,Bergamotto Liquid Soap Refill - 1lt,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Untitleddesign_1_4b217bb2-2c84-48bf-963c-f356f227c97d.png?v=1688688260,,Black,Glycerine ,990,831.6,9,soaps_and_creams,28,refill,3,Ortigia Sicilia,1,,,,1,lts,Italy,,,
36,LS,LS36,,1,7,gl_bathroom,Ambra Nera Liquid Soap Refill - 1lt,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/files/Untitleddesign_1_27c56186-8f62-4eaa-865d-5e2cb85daa28.png?v=1688688172,,Black,Glycerine ,990,831.6,9,soaps_and_creams,28,refill,3,Ortigia Sicilia,1,,,,1,lts,Italy,,,
